회차,교시,번호,문제명,대분류,핵심 키워드,난이도
112,1,13,배전선로의 전압강하율과 전압변동률 비교,1. 기초 이론,전압강하율 전압변동률 비교,하
112,2,1,변압기 2차측의 모선방식(단모선 복모선 루프 등),3. 수배전 설비,변압기 모선방식 신뢰도,중
112,2,2,단락전류의 종류와 계산방법(대칭분법 등),2. 전력 계통,단락전류 계산방법 %Z법,상
112,2,3,전력용 콘덴서의 절연열화 원인과 대책,3. 수배전 설비,콘덴서 절연열화 원인 대책,중
112,2,4,분산형 전원을 배전계통 연계 시 고려사항,5. 신재생/신기술,분산형전원 계통연계 영향,중
112,2,5,인공조명에 의한 빛공해 방지법의 주요 내용,8. 법규/설계,빛공해 방지법 조명환경관리구역,중
112,2,6,철근콘크리트 구조물의 자연적 구성부재 피뢰시스템 요건,6. KEC/접지/방재,자연적 구성부재 피뢰침 인하도선 접지극,상
112,3,1,노이즈방지용 변압기(절연변압기 등) 설명,3. 수배전 설비,노이즈방지용 변압기 노이즈 컷,중
112,3,2,축전지의 용량산정 시 고려사항(경시변화 보수율 등),3. 수배전 설비,축전지 용량산정 보수율,상
112,3,3,ESS의 출력과 용량 구분 및 전력계통 활용분야,5. 신재생/신기술,ESS 출력 용량 계통활용,중
112,3,4,병원설비 매크로쇼크/마이크로쇼크 방지 및 절연감시장치,8. 법규/설계,병원 감전방지 절연감시장치(LIM),상
112,3,5,케이블의 수트리(Water Tree) 원인 종류 및 억제 대책,3. 수배전 설비,CV케이블 수트리 열화,상
112,3,6,BIM(Building Information Modeling)의 적용 및 효율성,8. 법규/설계,BIM 설계 공사효율화,중
112,4,1,눈부심(Glare)의 원인 영향 손실 및 대책,4. 부하 설비,눈부심 종류 글레어 방지,중
112,4,2,전력품질(Power Quality)의 정의 및 요소 설명,2. 전력 계통,전력품질 전압변동 고조파 플리커,중
112,4,3,직류차단기의 종류와 소호방식 설명,3. 수배전 설비,직류차단기 소호 원리,상
112,4,4,변압기 병렬운전 조건 및 붕괴현상 설명,3. 수배전 설비,변압기 병렬운전 붕괴현상 순환전류,중
112,4,5,KSC IEC 60364-4-41의 감전 보호 체계 설명,6. KEC/접지/방재,감전 보호 체계 기본보호 고정보호,중
112,4,6,접지전극 부식형태 및 이종 금속 결합 부식 대책,6. KEC/접지/방재,접지극 부식 전식방지,중
113,1,1,불평형 고장계산을 위한 대칭좌표법 설명,1. 기초 이론,대칭좌표법 영상 정상 역상분,중
113,1,2,3상 평형 부하 시 중성선 전류가 0임을 수식으로 증명,1. 기초 이론,중성선 전류 계산 3상 평형 부하,하
113,1,3,변압기 용량 산정 및 효율적 운영을 위한 수용률 부등률 부하율 관계,3. 수배전 설비,수용률 부등률 부하율 상호관계,하
113,1,4,전력기술관리법에 의한 설계감리 대상 전력시설물 범위,8. 법규/설계,설계감리 대상 전력시설물,중
113,1,5,전기사용장소의 시설 중 특수장소에 대한 설명,8. 법규/설계,전기설비 특수장소 시설기준,중
113,1,6,도로조명의 기능과 운전자에 대한 휘도기준 설명,4. 부하 설비,도로조명 기능 휘도기준,중
113,1,7,자가용 수전설비 사용전검사 시 시험성적서 필요 기기 설명,8. 법규/설계,사용전검사 시험성적서 필요기기,중
113,1,8,의료장소(IEC 60364-7-710) 비상전원 공급사항 설명,8. 법규/설계,의료장소 비상전원 공급기준,상
113,1,9,주차단기 520MVA 시 피뢰기 접지선 굵기 산정(나동선 GV전선),6. KEC/접지/방재,피뢰기 접지선 굵기 계산,상
113,1,10,특고압 가공선로 2회선 수전 시 중성선 가선 방법,3. 수배전 설비,특고압 가공선로 중성선 가선,중
113,1,11,공통 통합접지의 접지저항 측정방법 설명,6. KEC/접지/방재,공통 통합접지 저항 측정,중
113,1,12,전력수요관리제도(DSM: Demand Side Management) 설명,7. 에너지/진단,DSM 전력수요관리,하
113,1,13,유도전동기 Y-델타 기동 시 기동전류 및 토크가 1/3로 감소함 증명,4. 부하 설비,와이델타 기동전류 기동토크 유도,중
113,2,1,합성수지관 금속관 가요전선관 특징 및 시공 시 유의사항,3. 수배전 설비,배관공사 특징 시공유의사항,하
113,2,2,PLC(Programmable Logic Controller) 구성요소 및 설치 유의사항,8. 법규/설계,PLC 구성요소 설치유의사항,중
113,2,3,저압회로 F1 지점 1선 지락전류 및 3상 단락전류 계산,2. 전력 계통,지락전류 단락전류 계산,상
113,2,4,인버터 시스템 적용 시 고려사항(인버터 및 전동기 측),4. 부하 설비,인버터 시스템 적용 고려사항,상
113,2,5,누전화재 경보기 설치 대상 건축물 및 시설방법 설명,6. KEC/접지/방재,누전화재경보기 설치기준,중
113,2,6,제시된 부하 조건을 적용한 수전설비 단선결선도 작성 및 기기 설명,3. 수배전 설비,단선결선도 작성 부하산정,상
113,3,1,동력설비 에너지 절감 방안(전원 전동기 부하측),7. 에너지/진단,동력설비 에너지절감,중
113,3,2,역률 개선 시 부하전압 유지를 위한 전원측 인가전압 계산,2. 전력 계통,역률개선 전압강하 계산,상
113,3,3,3상 변압기 병렬운전 가능 및 불가능 결선 판단 및 이유 설명,3. 수배전 설비,변압기 병렬운전 결선 조건,중
113,3,4,고조파가 전력용 변압기와 회전기에 미치는 영향 및 대책,3. 수배전 설비,고조파 영향 변압기 회전기,중
113,3,5,전력기술관리법에 의한 감리원 배치기준 설명,8. 법규/설계,감리원 배치기준 전력기술관리법,하
113,3,6,점멸장치와 타임스위치 등의 시설 기준(판단기준 177조),8. 법규/설계,점멸장치 타임스위치 시설기준,하
113,4,1,비상발전기 용량 선정 시 PG방식과 RG방식 비교 설명,3. 수배전 설비,비상발전기 용량산정 PG RG 방식,상
113,4,2,1000병상 이상 대형병원의 조명설계 설명,4. 부하 설비,병원 조명설계 기준,중
113,4,3,변압기 보호용 비율차동계전기 적용 시 고려사항 설명,3. 수배전 설비,비율차동계전기 고려사항,중
113,4,4,전력 케이블의 화재 원인과 대책 설명,6. KEC/접지/방재,전력케이블 화재원인 대책,중
113,4,5,BEMS(Building Energy Management System) 개념 및 의무화 사항,7. 에너지/진단,BEMS 개념 설치의무화,중
113,4,6,저압 배전계통 SPD 접속형식 및 등급별 공칭방전전류 설명,6. KEC/접지/방재,SPD 접속형식 공칭방전전류,상
114,1,1,"분전반 설치기준(공급범위, 예비회로, 설치높이)",3. 수배전 설비,분전반 설치기준,하
114,1,2,전력용 콘덴서 설치 위치에 따른 장단점 비교,3. 수배전 설비,콘덴서 설치위치 역률개선,중
114,1,3,직접접지 계통 수전반 OCR 및 OCGR 정정방법,3. 수배전 설비,보호계전기 정정 OCR OCGR,상
114,1,4,접지 설계 시 전위 간섭의 개념과 유의점,6. KEC/접지/방재,전위간섭 접지설계,중
114,1,5,의료장소 콘센트 설치 수량 방법 및 전원 종별 표시,8. 법규/설계,의료장소 콘센트 설치기준,중
114,1,6,평행한 평판 사이의 정전용량 유도,1. 기초 이론,정전용량 계산 면전하밀도,상
114,1,7,공사감리의 정의 및 공종별 촬영 대상과 처리방법,8. 법규/설계,공사감리 촬영대상 처리방법,하
114,1,8,전기 절연의 내열성 등급(IEC 60085) 비교 설명,3. 수배전 설비,절연 내열등급 상대내열지수,중
114,1,9,하이브리드 분산형 전원 정의 및 ESS 충방전 방식,5. 신재생/신기술,하이브리드 분산형전원 ESS 충방전,중
114,1,10,코로나 임계전압과 코로나 방지대책 설명,2. 전력 계통,코로나 임계전압 방지대책,중
114,1,11,델타-Y 변압기 1차 1선 지락 시 2차 상전압 선간전압 변화,3. 수배전 설비,지락사고 전압변화,상
114,1,12,저항/아크 용접기 공급 분기회로 및 간선 시설방법,3. 수배전 설비,용접기 분기회로 시설,하
114,1,13,직선도선 전류 I에 의한 자계의 세기 H 계산,1. 기초 이론,비오-사바르 법칙 자계세기,중
114,2,1,건축물 조명제어 주요 프로토콜(Protocol) 설명,4. 부하 설비,조명제어 프로토콜 DALI,중
114,2,2,변압기 임피던스 전압(%Z) 개념 및 병렬운전 부하분담,3. 수배전 설비,변압기 임피던스 병렬운전 부하분담,상
114,2,3,자가발전기와 무정전전원장치(UPS) 조합 운전 시 고려사항,3. 수배전 설비,비상발전기 UPS 조합운전,상
114,2,4,태양광 인버터(PCS) Stage 및 종류 특징 설명,5. 신재생/신기술,태양광 인버터 PCS 스테이지,중
114,2,5,변압기 효율과 부하율 관계 및 유입/몰드변압기 비교,3. 수배전 설비,변압기 효율 부하율 몰드변압기,중
114,2,6,154kV 지중선로 OF케이블과 XLPE케이블 비교 설명,3. 수배전 설비,OF케이블 XLPE케이블 비교,중
114,3,1,저압 유도전동기 보호방법 및 차단기 용량 배선규격,4. 부하 설비,전동기 보호 차단기 용량,중
114,3,2,연료전지 발전의 원리 및 특징 설명,5. 신재생/신기술,연료전지 발전원리,중
114,3,3,광원의 연색성 평가와 연색성이 물체에 미치는 영향,4. 부하 설비,광원 연색성 평가,중
114,3,4,엘리베이터 설치 시 전압강하 수용률 변압기 용량 산정,4. 부하 설비,엘리베이터 전원설비 설계,상
114,3,5,전선 이상온도 검지장치 적용 및 시설방법 설명,6. KEC/접지/방재,전선 온도검지장치 시설기준,중
114,3,6,수전설비 용량산정 이단강하방식과 직강하방식 비교,3. 수배전 설비,이단강하방식 직강하방식 용량산정,중
114,4,1,계측기용 변류기와 보호계전기용 변류기 차이점,3. 수배전 설비,계측용 CT 보호용 CT 차이,상
114,4,2,전류동작형 누전차단기의 정상 및 누전 시 동작원리,3. 수배전 설비,누전차단기 동작원리 영상변류기,중
114,4,3,"UPS 구성 방식(단일 버스, 병렬, 이중버스) 특성 설명",3. 수배전 설비,UPS 구성방식 이중화,상
114,4,4,인버터 제어회로 역률 개선용 콘덴서 설계 및 직렬리액터,3. 수배전 설비,인버터 역률개선 콘덴서 직렬리액터,상
114,4,5,TN계통 전원자동차단에 의한 감전보호방식 설명,6. KEC/접지/방재,TN계통 감전보호 자동차단,중
114,4,6,피뢰시스템 설계 시 고려사항과 설계흐름도 설명,6. KEC/접지/방재,피뢰시스템 설계흐름도,중
115,1,1,수변전설비의 옥외형과 옥내형 선정을 위한 설계조건 설명,3. 수배전 설비,옥내외 수변전설비 설계조건,하
115,1,2,전기사업법상 자가용 전기설비로 간주하는 대상 설명,8. 법규/설계,자가용 전기설비 범위,중
115,1,3,ESCO(Energy Service Company)의 역할과 계약제도의 종류,7. 에너지/진단,ESCO 사업 계약제도,중
115,1,4,피뢰기(Lightning Arrester)가 가져야 할 특성 설명,3. 수배전 설비,피뢰기 구비조건 특성,중
115,1,5,"한국전력 전력품질 3대 지표(전압, 주파수, 정전시간)",2. 전력 계통,전력품질 3대 지표,하
115,1,6,사물인터넷(IoT) 개념 및 전력설비 적용 현황 설명,5. 신재생/신기술,IoT 전력설비 적용,중
115,1,7,승강기 회생제동장치 원리와 설치 제한 사항 설명,4. 부하 설비,승강기 회생제동 에너지절감,중
115,1,8,제1종 및 제2종 초전도체의 특성 비교 설명,1. 기초 이론,초전도체 특성 비교,상
115,1,9,한국전기설비규정(KEC)의 주요 제정 사항 설명,6. KEC/접지/방재,KEC 주요 개정사항,중
115,1,10,루미네슨스(Luminescence) 개념과 종류 설명,4. 부하 설비,루미네슨스 발광원리,하
115,1,11,변압기 보호용 통과고장 보호 곡선(Through Fault Protection Curve),3. 수배전 설비,변압기 보호곡선 ANSI/IEEE,상
115,1,12,분산형 전원 한전 계통 연계 시 고려사항 설명,5. 신재생/신기술,분산형전원 계통연계,중
115,1,13,테브난(Thevenin) 등가회로 및 부하전류 계산 (RL=8Ω),1. 기초 이론,테브난 등가회로 계산,상
115,2,1,3상 유도전동기(500kW) OCR(50/51) 정정치 및 시간탭 설정 방법,3. 수배전 설비,OCR 정정 유도전동기 보호,상
115,2,2,축전지 ESS 효율적 활용 용도 및 경제성(B/C) 비교,5. 신재생/신기술,ESS 활용도 경제성 분석,상
115,2,3,대단위 단지 구내 변전실 설계 시 배전계통 및 구성 방식,3. 수배전 설비,구내 배전계통 구성,중
115,2,4,"표피효과와 표피두께 결정 요인(주파수, 재질) 설명",1. 기초 이론,표피효과 표피두께 유도,중
115,2,5,효과적인 접지를 위한 단계별 고려사항 설명,6. KEC/접지/방재,접지설계 단계별 고려사항,중
115,2,6,"1000kW 디젤발전기 준공검사 시 점검사항(전기, 건축, 기계)",3. 수배전 설비,비상발전기 준공검사,중
115,3,1,영상전류/전압 검출 방법 및 영상 OCR 정정/선로 구분 방법,3. 수배전 설비,지락보호 영상전압 검출,상
115,3,2,명시조명과 분위기 조명의 특징 및 설계 고려사항,4. 부하 설비,명시조명 분위기조명 설계,하
115,3,3,수변전설비 설계 시 단락전류 증가 문제점 및 억제대책,3. 수배전 설비,단락전류 억제대책 한류리액터,중
115,3,4,개폐서지의 종류와 특성 설명,3. 수배전 설비,개폐서지 종류 특성,중
115,3,5,프로시니엄 공연장 무대 조명기구 배치구역별 설명,4. 부하 설비,무대조명 배치구역,중
115,3,6,6.6kV 전동기 CV케이블 규격 선정(온도보정 계수 적용),3. 수배전 설비,케이블 굵기 선정 온도보정,상
115,4,1,변압기 인증을 위한 공장시험의 종류 및 시험방법,3. 수배전 설비,변압기 공장시험 제작검사,중
115,4,2,방범설비 중 침입 발견설비 설명,8. 법규/설계,침입발견설비 방범시스템,하
115,4,3,분상전동기 기동토크 최대화를 위한 보조회로 저항 산출,4. 부하 설비,분상전동기 기동토크 유도,상
115,4,4,맥스웰 방정식을 이용한 전자파 파동방정식 설명,1. 기초 이론,맥스웰 방정식 파동방정식,상
115,4,5,MCCB 특징 및 저압계통 단락 보호 협조 방식 설명,3. 수배전 설비,MCCB 단락보호 협조 캐스케이드,중
115,4,6,"건설사업관리(CM) 설명 (필요성, 업무범위, CM과 감리, 자문형/책임형 비교)",8. 법규/설계,건설사업관리 CM 감리 비교,중
116,1,1,피뢰기를 변압기에 가까이 설치해야 하는 이유 설명,3. 수배전 설비,피뢰기 설치거리 제한전압,중
116,1,2,내선규정에 의한 제2종 접지선 굵기 산정기준 설명,6. KEC/접지/방재,제2종접지선 굵기 산정,하
116,1,3,교류자기회로 코일에 시변자속 인가 시 유도기전력 설명,1. 기초 이론,패러데이 법칙 유도기전력,중
116,1,4,R-L 직렬회로 스위치 투입 시 과도전류 i(t) 계산,1. 기초 이론,RL 직렬회로 과도현상,상
116,1,5,저압 옥내 직류전기설비의 접지 시설기준 (판단기준 289조),6. KEC/접지/방재,저압 직류전기설비 접지,중
116,1,6,축전지 충전방식 분류 (초기충전 및 사용 중 충전방식),3. 수배전 설비,축전지 충전방식 균등충전,하
116,1,7,변압기의 K-Factor 정의 및 영향 설명,3. 수배전 설비,변압기 K-Factor 고조파,중
116,1,8,전기방식 중 희생양극법의 원리 및 특징 설명,6. KEC/접지/방재,희생양극법 전식방지,하
116,1,9,교류회로 전선 병렬 사용 시 포설방법 설명,3. 수배전 설비,병렬전선 포설방법 불평형방지,중
116,1,10,소방부하 겸용 발전기용량 산정 시 수용률 기준 설명,3. 수배전 설비,소방발전기 수용률 RG방식,중
116,1,11,3고조파 전류가 영상전류가 되는 이유 수식 설명,1. 기초 이론,3고조파 영상전류 동상성분,중
116,1,12,변압기 과부하 운전이 가능한 조건 설명,3. 수배전 설비,변압기 과부하운전 조건,중
116,1,13,파센의 법칙(Paschen's law)과 페닝효과(Penning effect) 설명,1. 기초 이론,파센의 법칙 페닝효과,상
116,2,1,중성점 직접접지식과 비접지식 전로의 지락보호 비교 설명,2. 전력 계통,직접접지 비접지 지락보호,상
116,2,2,변류기(CT)의 과전류정수와 과전류강도 상세 설명,3. 수배전 설비,CT 과전류정수 과전류강도,중
116,2,3,전력용 콘덴서의 내부고장 보호방식 설명,3. 수배전 설비,콘덴서 내부보호 방식,중
116,2,4,해상풍력발전 전력계통 연계방안 (내부/해상변전소/외부망),5. 신재생/신기술,해상풍력 계통연계,상
116,2,5,공사감리 물가변동 계약금액 조정방법 및 구비서류 설명,8. 법규/설계,감리비 조정 지수조정율,하
116,2,6,3상 유도전동기 토크 공극전력 입력전력 효율 계산,4. 부하 설비,유도전동기 토크 효율 계산,상
116,3,1,케이블 충전전류 발생원인 영향 및 대책 설명,3. 수배전 설비,케이블 충전전류 정전용량,중
116,3,2,GVT(접지형 계기용변압기) 고려사항 및 영상전압 관계 설명,3. 수배전 설비,GVT 설치 영상전압 검출,상
116,3,3,2018년 REC 가중치 개정 및 FIT 제도 한시적 도입 배경 설명,5. 신재생/신기술,REC 가중치 FIT 제도,중
116,3,4,분진위험장소 전기배선 및 개폐기 전등설비 시설방법 설명,6. KEC/접지/방재,분진방폭 시설방법,중
116,3,5,전기설비의 내진대책 및 예방대책 설명,6. KEC/접지/방재,전기설비 내진대책 지진대비,중
116,3,6,VVVF와 VVCF의 원리 특징 및 적용 분야 설명,4. 부하 설비,인버터 제어 VVVF VVCF,중
116,4,1,지중케이블의 고장점 추정방법 종류별 설명,3. 수배전 설비,케이블 고장점 추정 머레이루프,상
116,4,2,골프장 야간조명계획 시 고려사항 설명,4. 부하 설비,골프장 조명 설계 글레어,하
116,4,3,한전계통 이상 시 분산형전원 분리 시간 기준 설명,5. 신재생/신기술,분산형전원 분리시간,중
116,4,4,용량 및 임피던스가 다른 변압기 병렬운전 부하분담 계산,3. 수배전 설비,변압기 병렬운전 부하분담,상
116,4,5,특별저압전원(ELV)에 의한 보호 방식 설명 (IEC 60364),6. KEC/접지/방재,ELV 보호 SELV PELV,중
116,4,6,소방시설용 비상전원 수전설비 설치기준 및 결선방법 설명,6. KEC/접지/방재,소방 비상전원 수전설비,중
117,1,1,"3상4선식 전압강하 계산식에서 전선 재질(Cu, Al)에 따른 계수 k 산출",1. 기초 이론,전압강하 계산식 계수 k,상
117,1,2,전기소방설비 비상전원의 종류 및 용량 설명,8. 법규/설계,소방 비상전원 종류 용량,중
117,1,3,전기사업법 및 한전 약관에 따른 전압종별 구분과 저압 수전 최대 계약전력,8. 법규/설계,전압종별 구분 계약전력 결정,중
117,1,4,전기사업법에 의한 전기신산업의 의미 설명,8. 법규/설계,전기신산업 스마트그리드,하
117,1,5,건축전기설비 설계기준상 건축전기설비의 역할 3가지,8. 법규/설계,건축전기설비 역할,하
117,1,6,"조명 용어 설명(퍼킨제 효과, 균제도)",4. 부하 설비,퍼킨제 효과 균제도,하
117,1,7,무한 긴 선전하로부터 거리에 따른 두 점 사이의 전위차 Vab 계산,1. 기초 이론,선전하 전위차 유도,상
117,1,8,전력용 변압기 최대효율 조건 설명(철손과 동손의 관계),3. 수배전 설비,변압기 최대효율 조건,중
117,1,9,휘도측정방법(KS C 7613) 목적 및 측정 기준 설명,4. 부하 설비,휘도측정방법 KS C 7613,중
117,1,10,주상복합건축물 경관조명 설계 시 고려사항과 설계절차,4. 부하 설비,경관조명 설계절차 고려사항,중
117,1,11,유도전동기 회로 배선용차단기(MCCB) 선정조건 설명,3. 수배전 설비,유도전동기 MCCB 선정,중
117,1,12,변류기(CT)의 포화특성 설명,3. 수배전 설비,CT 포화특성 과전류정수,상
117,1,13,직류 회로에서 중첩의 원리 등을 이용한 각 저항의 전류 계산,1. 기초 이론,회로망 해석 전류 계산,중
117,2,1,가스절연개폐장치(GIS) SF6 가스 특성 및 대체 기술 설명,3. 수배전 설비,SF6 가스 특성 대체가스,상
117,2,2,심매설접지(보링접지) 설계 및 시공 시 고려사항 설명,6. KEC/접지/방재,심매설접지 보링접지,중
117,2,3,건물에너지관리시스템(BEMS) 설명,7. 에너지/진단,BEMS 건물에너지관리시스템,하
117,2,4,교류 회로에서 전력계(Wattmeter) 지시값 계산,1. 기초 이론,전력계 지시값 복소전력 계산,상
117,2,5,단상 반파정류기와 단상 전파정류기 비교 설명,1. 기초 이론,단상 정류회로 반파 전파,하
117,2,6,건물 조명제어 관련 주요 프로토콜 설명,4. 부하 설비,조명제어 프로토콜 DALI,중
117,3,1,스폿네트워크 수전방식 사고구간별 보호 및 보호협조,3. 수배전 설비,스폿네트워크 네트워크 프로텍터,상
117,3,2,업무용 건물 구내통신선로설비 구성 및 설치기준,8. 법규/설계,구내통신선로설비 설치기준,중
117,3,3,고조파가 전력용 변압기와 회전기에 미치는 영향과 대책,3. 수배전 설비,고조파 변압기 회전기 영향,중
117,3,4,변압기 손실 종류 및 손실 저감 대책 설명,3. 수배전 설비,변압기 손실 저감 무부하손 부하손,중
117,3,5,전기실 및 발전기실 환기량 계산방법 설명,3. 수배전 설비,환기량 계산 발열량 제거,중
117,3,6,옥내운동장(KS C 3706) 조명기구 배치방식 설명,4. 부하 설비,옥내운동장 조명설계,하
117,4,1,불평형 전압이 유도전동기에 미치는 영향 설명,4. 부하 설비,전압 불평형 유도전동기 특성 변화,상
117,4,2,에너지저장장치(ESS) 화재 원인과 방지대책 설명,5. 신재생/신기술,ESS 화재 대책 배터리 열폭주,상
117,4,3,"자동화재탐지설비 수신기 종류 및 특수 감지기(불꽃, 아날로그, 초미립자)",6. KEC/접지/방재,화재수신기 특수감지기,중
117,4,4,"스마트그리드 필요성, 특징, 핵심기술 및 조건 설명",5. 신재생/신기술,스마트그리드 핵심기술 구현조건,중
117,4,5,글레어(Glare)의 종류와 평가방법 설명,4. 부하 설비,글레어 평가방법 UGR,중
117,4,6,전력용 콘덴서 운전 중 점검항목 및 배부름 원인과 대책,3. 수배전 설비,콘덴서 점검 팽창 원인 대책,중
118,1,1,KS C IEC 60529 전기기기 외함 보호등급(IP) 설명,8. 법규/설계,IP 등급 외함보호,하
118,1,2,전력선과 통신선 사이 차폐선 설치 시 전자유도전압 계산,1. 기초 이론,전자유도전압 차폐계수,상
118,1,3,전력간선(케이블/버스덕트) 단락 시 단락전자력 및 단락기계력 계산방법,3. 수배전 설비,단락전자력 단락기계력,상
118,1,4,전로의 절연성능 기준값 및 저압전로의 절연성능 설명,6. KEC/접지/방재,전로의 절연저항 절연성능,중
118,1,5,산화아연형(ZnO) 피뢰기의 열폭주 현상 설명,3. 수배전 설비,피뢰기 열폭주 ZnO,중
118,1,6,승강기의 설계순서와 배치결정 방법 설명,4. 부하 설비,승강기 설계순서 배치결정,하
118,1,7,수요반응(DR)의 의미와 국내 시행 요금제도 설명,7. 에너지/진단,수요반응 DR 요금제도,중
118,1,8,직렬커패시터와 병렬커패시터 적용 시 특성 및 효과 비교,2. 전력 계통,직렬콘덴서 병렬콘덴서 비교,상
118,1,9,고체 유전체의 트리잉(Treeing) 및 트래킹(Tracking) 현상 설명,1. 기초 이론,절연파괴 트리잉 트래킹,중
118,1,10,변압기의 단절연(Graded Insulation) 설명,3. 수배전 설비,변압기 단절연 전절연,중
118,1,11,폴리에틸렌전선관(CD)의 특징/호칭/성능 설명,3. 수배전 설비,CD관 특징 호칭 성능,하
118,1,12,수소자동차 저장식 충전소 설계 시 전기적 고려사항 설명,5. 신재생/신기술,수소충전소 전기설비 설계,중
118,1,13,맥스웰 방정식(Maxwell Equation) 4가지 설명,1. 기초 이론,맥스웰 방정식 전자계이론,상
118,2,1,건축물의 EMC(전자기적합성) 대책 설명,8. 법규/설계,EMC 대책 EMI EMS,중
118,2,2,도로조명(KS A 3701) 등급/배치 및 터널조명(KS C 3703) 설치방법,4. 부하 설비,도로조명 터널조명 설계,중
118,2,3,전력용 변압기 발생 고장의 종류 및 현상 설명,3. 수배전 설비,변압기 내부고장 외부고장,중
118,2,4,디젤엔진 비상발전기의 보호계전방식 설명,3. 수배전 설비,비상발전기 보호계전방식,중
118,2,5,무정전 전원장치(UPS) 용량설계 시 고려사항 설명,3. 수배전 설비,UPS 용량설계 고려사항,상
118,2,6,비상방송설비의 장애발생 원인 및 성능개선 방안 설명,8. 법규/설계,비상방송설비 장애개선,중
118,3,1,특고압 전선로 인체보호기준 기술기준 제정이유와 주요내용,8. 법규/설계,특고압 인체보호기준,중
118,3,2,ATS와 CTTS의 특성 비교 설명,3. 수배전 설비,ATS CTTS 비교 무정전절체,상
118,3,3,케이블 트랜치 시공 시 고려사항 설명,3. 수배전 설비,케이블트랜치 시공유의사항,하
118,3,4,공동구의 전기설비설계기준 설명,8. 법규/설계,공동구 전기설비 설계기준,중
118,3,5,교류배전과 직류배전 특성 비교 및 직류배전 도입 고려사항,2. 전력 계통,AC배전 DC배전 비교,중
118,3,6,"태양광발전용 인버터 Topology 구성방법(MIC, String, Central)",5. 신재생/신기술,태양광 인버터 토폴로지,상
118,4,1,"22.9kV 직강압방식 변압기 용량결정(주변압기, 전등/동력, 용접기)",3. 수배전 설비,변압기 용량산정 직강압방식,중
118,4,2,분산형전원 계통연계용 변압기의 결선방식 설명,5. 신재생/신기술,분산형전원 변압기 결선방식,중
118,4,3,건축물 전기설비의 접지선 굵기 산정 방법 설명,6. KEC/접지/방재,접지선 굵기 산정식,상
118,4,4,변압기 2차측 지락사고 시 접촉전압/감전전류 계산 및 안전대책,6. KEC/접지/방재,접촉전압 감전전류 계산,상
118,4,5,저압 SPD(Surge Protective Device) 선정 시 고려사항 설명,6. KEC/접지/방재,저압 SPD 선정기준,중
118,4,6,에너지절약계획서 전기부문 의무/권장사항 및 면제 건축물 설명,7. 에너지/진단,에너지절약계획서 제출대상,하
119,1,1,플리커(Flicker) 정의 및 경감대책 설명,2. 전력 계통,플리커 전압변동 경감대책,중
119,1,2,순응 및 퍼킨제 효과의 개념 및 응용 설명,4. 부하 설비,퍼킨제 효과 순응 시각특성,하
119,1,3,2대의 동기발전기 병렬운전 시 기전력 및 위상 차이에 따른 현상,3. 수배전 설비,발전기 병렬운전 횡류 동기화전류,상
119,1,4,건축물의 비상발전기 용량산정 방법 설명,3. 수배전 설비,비상발전기 용량산정 PG RG 방식,중
119,1,5,직류송전(HVDC)의 장단점 비교 설명,2. 전력 계통,직류송전 장단점 HVDC,중
119,1,6,중첩의 정리를 이용한 부하전류 IL(A) 계산,1. 기초 이론,중첩의 정리 회로계산,상
119,1,7,의료장소의 접지계통방식(IT접지 등) 설명,6. KEC/접지/방재,의료장소 접지 IT 계통,중
119,1,8,소화활동설비용 비상콘센트설비의 설치 기준 설명,6. KEC/접지/방재,비상콘센트 설치기준,하
119,1,9,주택용 분전반 설치장소 선정 시 고려사항 설명,3. 수배전 설비,주택용 분전반 설치장소,하
119,1,10,"인가 전압 변동(110%,  90%)에 따른 유도전동기 특성 변화 설명",4. 부하 설비,전압변동 전동기특성 슬립 토크,중
119,1,11,1.5kV 이하 직류 가공전선로의 시설방법 설명,3. 수배전 설비,직류 가공전선로 시설기준,중
119,1,12,아크차단기(AFCI)의 정의 및 동작원리 설명,3. 수배전 설비,아크차단기 AFCI 화재예방,상
119,1,13,이차전지 이용 ESS 화재 안전강화 대책 및 추가 검사 항목,5. 신재생/신기술,ESS 화재대책 사용전검사,상
119,2,1,비상용 동기발전기 부하 종류별 단자전압 특성(식과 그래프),3. 수배전 설비,발전기 단자전압 특성 전기자반작용,상
119,2,2,건축물 내의 통합자동제어설비(BAS/IBS) 설명,8. 법규/설계,통합자동제어설비 BAS IBS,중
119,2,3,고조파 정의/원리 및 케이블 고조파 전류 보정계수 설명,3. 수배전 설비,고조파 보정계수 케이블 선정,상
119,2,4,고령자 배려 주거시설 전기설비 설계 시 고려사항 설명,8. 법규/설계,고령자 주거시설 전기설비 설계,하
119,2,5,"전반조명설계 절차 및 조도 계산방법(3배광법, ZCM)비교",4. 부하 설비,광속법 구역공간법 조도계산,중
119,2,6,건축물 배선설비 선정과 설치 시 고려할 외적 영향 10가지,3. 수배전 설비,배선설비 외적영향 선정기준,중
119,3,1,"순시전압강하(Voltage Sag)의 정의, 원인 및 대책 설명",2. 전력 계통,순시전압강하 SAG 대책,상
119,3,2,인덕터 L 전류와 전압 E가 동상이 되기 위한 저항 R2 값 계산,1. 기초 이론,회로이론 위상계산 공진,상
119,3,3,유도전동기 기동방식 선정 및 비상전원겸용 ESS 영향 대책,4. 부하 설비,유도전동기 기동법 ESS 연계,상
